Corrente/ A ,Corrente/ A _t-1,Corrente/ A _t-2,Condutividade/microS 
0.6544920318572076,0.6544920318572076,0.6544920318572076,0.6620546043498381
0.4579066147227985,0.6544920318572076,0.6544920318572076,0.6620546043498381
0.4170508357699845,0.4579066147227985,0.6544920318572076,0.662517353077279
0.3875223666107232,0.4170508357699845,0.4579066147227985,0.662517353077279
0.36555134833929,0.3875223666107232,0.4170508357699845,0.6629801018047201
0.3476231642260638,0.36555134833929,0.3875223666107232,0.663442850532161
0.3340282153436321,0.3476231642260638,0.36555134833929,0.663442850532161
0.3217338822686126,0.3340282153436321,0.3476231642260638,0.663442850532161
0.3114825839462543,0.3217338822686126,0.3340282153436321,0.6639055992596019
0.3020575416381623,0.3114825839462543,0.3217338822686126,0.6639055992596019
0.2904679666679611,0.3020575416381623,0.3114825839462543,0.6643683479870433
0.283878768086695,0.2904679666679611,0.3020575416381623,0.6643683479870433
0.2777530875414819,0.283878768086695,0.2904679666679611,0.6643683479870433
0.2723412950017955,0.2777530875414819,0.283878768086695,0.6648310967144839
0.2669697969277445,0.2723412950017955,0.2777530875414819,0.665293845441925
0.2616211674992215,0.2669697969277445,0.2723412950017955,0.665293845441925
0.2565912945079907,0.2616211674992215,0.2669697969277445,0.665293845441925
0.2526409005944737,0.2565912945079907,0.2616211674992215,0.6648310967144839
0.2482218091820013,0.2526409005944737,0.2565912945079907,0.6648310967144839
0.2442033360569403,0.2482218091820013,0.2526409005944737,0.6643683479870433
0.239192074017158,0.2442033360569403,0.2482218091820013,0.6643683479870433
0.2362771776404338,0.239192074017158,0.2442033360569403,0.6643683479870433
0.2354186597174067,0.2362771776404338,0.239192074017158,0.6643683479870433
0.2325358935681816,0.2354186597174067,0.2362771776404338,0.6643683479870433
0.2299974300207372,0.2325358935681816,0.2354186597174067,0.6643683479870433
0.2274817473313146,0.2299974300207372,0.2325358935681816,0.6639055992596019
0.2264221521238975,0.2274817473313146,0.2299974300207372,0.6639055992596019
0.2242936123395862,0.2264221521238975,0.2274817473313146,0.663442850532161
0.2210614080194322,0.2242936123395862,0.2264221521238975,0.663442850532161
0.2188391111778296,0.2210614080194322,0.2242936123395862,0.6629801018047201
0.217372225832483,0.2188391111778296,0.2210614080194322,0.6629801018047201
0.2147228866639145,0.217372225832483,0.2188391111778296,0.662517353077279
0.2127309003464745,0.2147228866639145,0.217372225832483,0.6620546043498381
0.2110698729297777,0.2127309003464745,0.2147228866639145,0.6620546043498381
